"sha256","duplicate_count","original_path","file_size"
"F0006FBAE9440220441F2F4937573B345C3E099E58F18F74B85184F306C2E08C","2","addintional info to add\dasdasdas ffds\04 - Cybersecurity Frameworks NIST Cybersecurity Framework Cybersecurity Certificatio.txt","22686"
"D21B86298B405AC2E1F34B3AE6CCF2F18E45B2FC9587DD52943596D1FA6E4A75","2","addintional info to add\06 - Cybersecurity Tools Popular Tools for Cybersecurity Threats Cybersecurity Traini.txt","19272"
"D21B86298B405AC2E1F34B3AE6CCF2F18E45B2FC9587DD52943596D1FA6E4A75","2","addintional info to add\dasdasdas ffds\06 - Cybersecurity Tools Popular Tools for Cybersecurity Threats Cybersecurity Traini.txt","19272"
"A7335B6A3C7FD877147E014D4FDB495D67B19A8A541E2CBCB622504E7AEEB0BE","2","addintional info to add\07 - Top 10 Reasons to Learn Cybersecurity in 2024 Why Cybersecurity is Important Edu.txt","11263"
"A7335B6A3C7FD877147E014D4FDB495D67B19A8A541E2CBCB622504E7AEEB0BE","2","addintional info to add\dasdasdas ffds\07 - Top 10 Reasons to Learn Cybersecurity in 2024 Why Cybersecurity is Important Edu.txt","11263"
"93FF8560CAAD876C64966785780A9BFB66D3919C6D43619B107AFFA8A9C78D85","2","addintional info to add\08 - 8 Most Common Cybersecurity Threats Types of Cyber Attacks Cybersecurity for Beg.txt","26436"
"93FF8560CAAD876C64966785780A9BFB66D3919C6D43619B107AFFA8A9C78D85","2","addintional info to add\dasdasdas ffds\08 - 8 Most Common Cybersecurity Threats Types of Cyber Attacks Cybersecurity for Beg.txt","26436"
"118E1D63B0B4AD428D2C1B91EC94D843DF4C9B6C7A1EA0450E238F08A6038C83","2","addintional info to add\09 - What is Cryptography Introduction to Cryptography Cryptography for Beginners Edu.txt","20721"
"118E1D63B0B4AD428D2C1B91EC94D843DF4C9B6C7A1EA0450E238F08A6038C83","2","addintional info to add\dasdasdas ffds\09 - What is Cryptography Introduction to Cryptography Cryptography for Beginners Edu.txt","20721"
"FD21CDACF02F5E4ACBE8385494BF3D305E6A1F1D48E691B3D6B30502A25D1DC0","2","addintional info to add\11 - Computer Security Types of Computer Security Cybersecurity Course Edureka.txt","28013"
"FD21CDACF02F5E4ACBE8385494BF3D305E6A1F1D48E691B3D6B30502A25D1DC0","2","addintional info to add\dasdasdas ffds\11 - Computer Security Types of Computer Security Cybersecurity Course Edureka.txt","28013"
